1. Subject ID,2. Is talkative,3. Tends to find faults with others,4. Does a thorough job,"5. Is depressed, blue","6. Is original, comes up with new ideas",7. Is reserved,8. Is helpful and unselfish with others,9. Can be somewhat careless,"10. Is relaxed, handles stress well",11. Is curious about many different things,12. Is full of energy,13. Starts quarrels with others,14. Is a reliable worker,15. Can be tense,"16. Is ingenious, a deep thinker",17. Generates a lot of enthusiasm,18. Has a forgiving nature,19. Tends to be disorganized,20. Worries a lot,21. Has an active imagination,22. Tends to be quiet,23. Is generally trusting,24. Tends to be lazy,"25. Is emotionally stable, not easily upset",26. Is inventive,27. Has an assertive personality,28. Can be cold and aloof,29. Perseveres until the task is finished,30. Can be moody,"31. Values artistic, aesthetic experiences","32. Is sometimes shy, inhibited",33. Is considerate and kind to almost everyone,34. Does things efficiently,35. Remains calm in tense situations,36. Prefers work that is routine,"37. Is outgoing, sociable",38. Is sometimes rude to others,39. Makes plans and follows through with them,40. Gets nervous easily,"41. Likes to reflect, play with ideas",42. Has few artistic interests,43. Likes to cooperate with others,44. Is easily distracted,"45. Is sophisticated in art, music, or literature",Date
14848,4,5,4,4,4,3,4,5,2,5,3,4,5,5,5,4,2,4,5,5,2,3,3,4,4,5,3,5,4,2,4,3,4,4,5,2,4,3,3,4,4,1,4,2,2016-05-31 14:32:06 UTC
28685,1,3,4,2,4,5,5,4,3,5,3,1,5,2,3,4,4,4,1,4,5,5,3,4,4,2,1,4,1,2,5,5,5,3,1,1,2,4,3,1,4,1,4,3,2016-05-31 14:33:09 UTC
37273,4,5,4,1,4,4,4,3,4,5,5,1,4,3,4,4,4,2,2,3,4,5,3,5,4,3,2,4,2,3,4,4,4,4,3,4,1,3,2,4,3,3,4,2,2016-05-31 14:39:10 UTC
37362,4,3,4,1,3,2,2,4,5,4,4,1,5,2,3,3,4,2,1,4,2,4,5,5,4,4,4,3,1,1,2,3,3,5,2,3,2,3,1,4,5,3,5,3,2016-05-31 14:39:19 UTC
28468,5,3,4,3,3,4,2,2,4,5,3,1,5,4,3,5,3,1,2,3,2,4,2,3,3,3,2,4,3,4,2,5,4,4,4,5,2,4,2,3,3,5,1,4,2016-05-31 14:41:16 UTC
88620,5,1,4,1,2,3,4,3,4,4,3,1,4,1,2,3,4,4,4,4,3,4,3,4,3,2,1,3,3,1,1,5,3,4,3,4,1,4,3,3,5,5,4,1,2016-05-31 14:56:32 UTC
15228,4,1,4,1,4,2,5,3,4,5,4,1,5,2,4,5,4,2,2,3,2,2,3,5,3,4,2,4,2,3,4,5,4,3,4,4,1,4,3,4,3,4,4,2,2016-06-02 09:27:22 UTC
36873,3,2,5,2,3,4,2,3,1,4,4,1,5,4,2,1,5,1,3,3,4,4,1,4,3,4,2,5,4,2,3,4,4,3,2,3,1,4,3,3,2,2,4,1,2016-06-02 09:29:01 UTC
55291,4,3,4,2,4,4,4,2,2,4,2,2,4,3,3,3,4,3,4,4,4,4,3,3,4,3,2,4,3,4,4,4,4,3,4,3,2,4,4,3,3,4,3,2,2016-06-02 09:30:08 UTC
15345,4,2,4,2,4,3,4,2,4,4,3,1,5,4,3,4,3,4,2,2,3,4,3,3,2,2,2,5,3,2,2,4,5,5,3,4,2,2,2,2,4,4,3,2,2016-06-02 09:30:28 UTC
96354,5,3,5,2,4,1,5,1,4,5,5,1,5,2,3,5,5,1,2,3,1,5,1,3,3,4,1,4,2,2,1,5,5,5,3,5,2,5,1,3,2,5,1,2,2016-06-02 09:30:45 UTC
32052,4,3,5,3,2,3,4,1,2,2,3,1,5,4,3,2,2,1,4,3,3,4,2,2,2,2,4,5,4,3,5,3,5,4,2,2,3,5,2,4,3,3,1,2,2016-06-02 09:31:08 UTC
21858,4,2,5,4,2,2,4,3,2,4,3,1,5,3,2,4,2,2,1,1,2,5,4,4,1,2,2,5,4,4,2,5,4,4,3,4,3,4,2,3,1,4,5,2,2016-06-02 09:31:29 UTC
86528,5,3,4,2,4,3,4,2,4,5,3,2,5,4,3,3,2,3,2,4,1,3,1,4,3,4,4,4,4,1,3,3,4,3,2,3,4,4,2,4,5,4,2,3,2016-06-02 09:33:43 UTC
26519,4,3,4,3,4,2,3,5,3,5,5,2,4,4,4,4,3,2,1,4,2,3,4,2,3,4,5,4,5,5,5,4,4,2,1,3,3,4,4,4,4,3,4,2,2016-06-02 09:34:22 UTC
71719,4,4,5,3,4,4,4,2,5,4,3,1,4,4,5,4,5,2,4,4,4,5,4,4,4,3,2,4,4,4,4,5,4,3,3,4,2,3,2,2,3,4,4,4,2016-06-02 09:34:46 UTC
46818,3,3,4,2,3,4,4,2,4,3,3,2,5,3,4,3,3,1,3,3,4,4,2,4,3,3,2,4,4,5,4,4,4,4,4,4,4,4,4,3,2,4,3,3,2016-06-02 09:35:03 UTC
72176,5,3,5,1,3,1,4,3,2,4,3,1,5,4,3,2,3,1,4,4,1,5,2,4,2,5,1,4,4,3,2,4,4,3,3,4,2,4,2,3,4,5,2,3,2016-06-02 09:35:05 UTC
39097,3,4,5,4,4,4,5,1,1,5,3,1,5,5,5,4,3,1,5,4,5,4,1,2,2,2,1,5,4,4,5,5,4,2,4,2,1,5,4,4,3,2,3,4,2016-06-02 09:38:22 UTC
70156,4,1,3,1,4,1,4,3,4,5,3,1,4,2,4,3,4,4,1,4,1,5,5,4,4,3,2,3,3,3,2,4,2,5,1,5,2,3,2,5,5,4,4,3,2016-06-02 09:39:07 UTC
36873,4,2,5,1,4,4,4,5,3,4,2,1,3,3,2,2,4,3,1,3,3,4,1,3,3,4,4,4,3,1,1,3,4,4,1,3,1,2,2,3,1,3,2,1,2016-06-02 09:41:17 UTC
58461,2,4,3,1,4,5,3,3,1,5,2,4,4,5,3,3,2,4,5,5,5,4,4,1,4,4,5,2,4,4,4,2,5,4,1,1,4,2,4,4,2,2,3,3,2016-06-06 14:27:08 UTC
49681,4,2,4,3,2,3,4,3,4,4,3,1,5,4,3,4,4,1,2,2,2,4,2,3,2,3,2,4,2,3,4,5,5,4,4,4,1,4,2,3,4,5,2,2,2016-06-06 14:27:37 UTC
63214,2,3,3,2,4,4,3,2,5,2,3,1,5,3,2,4,2,4,4,2,5,2,1,2,1,1,4,4,5,2,3,2,4,4,5,2,5,5,2,1,4,3,2,2,2016-06-06 14:27:48 UTC
28241,3,2,4,4,5,4,4,3,4,5,4,1,4,3,5,4,3,2,3,4,4,4,2,3,4,3,2,4,4,5,4,4,4,4,3,4,2,4,2,4,1,3,2,4,2016-06-06 14:28:12 UTC
76687,4,4,3,4,2,3,5,2,3,4,4,1,4,3,5,4,3,4,5,4,1,4,1,3,1,5,5,4,3,3,2,4,4,4,2,5,1,5,4,4,3,4,4,3,2016-06-06 14:28:49 UTC
22515,4,2,5,2,4,2,4,3,4,5,3,2,4,2,5,3,2,2,2,5,4,5,3,4,2,3,4,4,2,4,2,3,4,5,1,2,3,3,2,4,2,4,2,2,2016-06-06 14:29:00 UTC
94511,4,4,4,1,4,1,5,1,4,5,5,1,5,2,5,5,5,1,1,4,1,4,1,4,4,4,2,4,1,2,2,5,5,5,3,4,1,4,1,5,4,5,1,2,2016-06-06 14:29:08 UTC
71446,3,4,4,2,3,4,4,2,3,4,4,1,4,4,2,3,4,2,3,2,4,3,3,3,2,3,3,4,4,4,4,4,3,4,2,3,3,4,2,4,2,4,3,2,2016-06-06 14:29:33 UTC
80278,3,4,4,4,4,4,3,3,2,4,3,1,4,3,3,4,4,4,4,5,4,4,3,2,5,3,3,2,4,4,3,4,4,3,5,4,2,4,3,4,4,3,2,4,2016-06-06 14:29:52 UTC
93357,4,3,5,2,4,2,4,3,3,4,4,1,4,4,4,4,4,4,4,4,3,4,4,3,4,2,1,3,4,4,4,5,3,4,3,4,4,4,4,4,5,2,4,1,2016-06-06 14:31:17 UTC
24010,3,4,4,2,3,2,3,2,2,4,4,4,5,5,4,4,3,3,4,3,3,3,3,2,3,4,3,4,4,3,5,2,4,3,3,2,2,3,4,4,3,3,3,3,2016-06-06 14:32:36 UTC
58222,5,2,4,1,3,2,4,2,3,5,4,1,4,2,3,5,5,3,2,4,2,4,3,4,4,3,1,4,2,4,3,4,4,4,3,5,1,4,2,4,2,5,4,4,2016-06-06 14:33:18 UTC
95567,5,2,4,1,4,2,3,4,4,5,4,1,5,2,3,4,4,4,3,5,2,4,2,5,4,4,1,4,3,4,2,5,4,4,3,4,2,,3,4,2,5,4,3,2016-06-06 14:34:43 UTC
99759,4,4,5,1,3,4,4,3,4,5,3,1,5,3,3,2,5,2,3,2,5,4,4,5,4,2,1,3,2,2,4,4,5,5,3,3,2,2,4,2,5,5,4,1,2016-06-08 09:33:29 UTC
78505,5,5,4,2,4,1,3,3,4,5,4,1,5,2,4,4,4,4,2,4,1,3,2,5,4,5,2,4,3,4,2,3,4,4,4,5,2,5,3,4,3,3,2,4,2016-06-08 09:33:35 UTC
15752,4,4,4,1,5,4,5,2,4,5,4,1,4,2,4,4,5,5,3,4,2,4,2,4,4,5,2,3,4,3,2,4,5,5,3,4,2,3,1,3,5,4,4,1,2016-06-08 09:33:36 UTC
39575,5,2,4,2,4,1,2,3,5,5,4,2,5,3,3,4,3,1,4,5,2,4,2,3,4,5,2,4,4,4,1,4,4,4,2,4,3,5,2,5,2,4,2,3,2016-06-08 09:33:48 UTC
15189,3,4,2,1,4,4,3,4,3,5,5,3,3,2,2,5,5,3,1,5,4,4,3,5,4,3,2,4,1,5,4,4,2,5,3,5,4,4,2,3,1,4,5,4,2016-06-08 09:34:42 UTC
96525,2,3,4,2,3,4,4,3,3,4,3,1,4,4,3,4,3,3,4,4,5,4,4,4,3,3,4,3,4,4,4,4,3,3,4,3,2,4,3,3,5,4,4,3,2016-06-08 09:35:05 UTC
73160,5,3,5,4,4,1,3,4,3,5,4,2,5,3,3,4,3,2,4,4,2,4,3,4,4,5,2,4,4,4,2,4,5,4,1,5,4,4,3,4,2,4,4,3,2016-06-08 09:36:48 UTC
83857,4,3,5,1,4,3,5,1,4,3,4,1,5,4,4,5,5,3,3,3,5,5,2,4,4,4,2,3,3,3,2,5,5,5,3,3,1,5,2,4,3,5,3,2,2016-06-08 09:37:07 UTC
51068,5,2,4,1,2,3,4,4,5,4,4,1,4,3,3,4,3,2,2,5,2,4,4,4,2,4,1,4,2,3,4,5,3,4,2,4,3,5,2,2,4,5,4,3,2016-06-08 09:37:16 UTC
74344,4,1,4,3,3,1,4,3,4,5,4,1,5,4,5,3,5,1,3,3,2,4,2,4,4,2,1,4,2,5,2,5,4,2,3,5,1,5,3,4,2,5,4,3,2016-06-08 09:41:56 UTC
40636,3,4,4,2,5,3,4,3,4,5,4,2,4,4,5,5,2,4,3,4,4,2,3,2,4,4,3,4,2,4,4,5,5,2,1,4,1,4,4,5,2,2,4,2,2016-06-08 09:42:11 UTC
90786,5,2,5,1,4,1,5,4,4,4,5,3,4,4,4,4,4,2,4,5,3,5,3,4,4,4,1,5,4,4,4,5,5,5,5,4,2,3,5,4,5,5,2,1,2016-06-09 15:58:53 UTC
61770,2,5,3,4,4,3,2,5,3,5,3,4,4,5,2,1,1,2,4,3,4,3,3,4,3,4,3,5,4,5,2,3,4,4,2,2,5,4,4,3,2,2,4,4,2016-06-09 15:59:39 UTC
53995,4,2,3,1,4,3,4,4,4,4,4,3,4,2,4,4,4,3,1,4,2,4,4,4,4,3,2,4,2,3,2,4,4,4,4,4,4,4,2,4,4,4,5,3,2016-06-09 15:59:39 UTC
